"FPK_NATURA";"SITECODE";"CD_INSEE";"NUTS";"LB_ADM";"CD_INSEE_REG_NEW";"LB_REG_NEW"
7817,00;"FR4301294";"43";"FR43";"FRANCHE-COMTE";"27";"Bourgogne-Franche-Comte"
7819,00;"FR4301338";"43";"FR43";"FRANCHE-COMTE";"27";"Bourgogne-Franche-Comte"
7820,00;"FR4301345";"43";"FR43";"FRANCHE-COMTE";"27";"Bourgogne-Franche-Comte"
7827,00;"FR7200669";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
7829,00;"FR7200673";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
7831,00;"FR7200727";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
7832,00;"FR7200736";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
7833,00;"FR7200766";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
7834,00;"FR7200795";"72";"FR61";"AQUITAINE";"75";"Nouvelle-Aquitaine"
7836,00;"FR7300868";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7837,00;"FR7300926";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7838,00;"FR7310088";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7839,00;"FR7312001";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7840,00;"FR7312002";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7841,00;"FR7312003";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7842,00;"FR7312004";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7843,00;"FR7312005";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7844,00;"FR7312006";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7845,00;"FR7312007";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7845,00;"FR7312007";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7846,00;"FR7312008";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7846,00;"FR7312008";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7847,00;"FR7312009";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7848,00;"FR7312010";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7849,00;"FR7312011";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7850,00;"FR7312012";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7851,00;"FR7312013";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7852,00;"FR7312014";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7862,00;"FR8201681";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7863,00;"FR8201686";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7864,00;"FR8201701";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7865,00;"FR8201704";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7866,00;"FR8201705";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7867,00;"FR8201708";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7868,00;"FR8201733";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7870,00;"FR8201744";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7871,00;"FR8201747";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7872,00;"FR8201751";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7875,00;"FR8201777";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7876,00;"FR8201778";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7877,00;"FR8201779";"82";"FR71";"RHONE-ALPES";"84";"Auvergne-Rhone-Alpes"
7879,00;"FR8301086";"83";"FR72";"AUVERGNE";"84";"Auvergne-Rhone-Alpes"
7880,00;"FR8302021";"83";"FR72";"AUVERGNE";"84";"Auvergne-Rhone-Alpes"
7884,00;"FR9110033";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7885,00;"FR9110034";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7886,00;"FR9110042";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7887,00;"FR9110080";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7888,00;"FR9110081";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7889,00;"FR9110108";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7890,00;"FR9110111";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7891,00;"FR9112001";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7892,00;"FR9112002";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7893,00;"FR9112003";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7894,00;"FR9112004";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7895,00;"FR9112005";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7896,00;"FR9112006";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7897,00;"FR9112007";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7898,00;"FR9112008";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7899,00;"FR9112009";"73";"FR62";"MIDI-PYRENEES";"76";"Occitanie"
7899,00;"FR9112009";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7900,00;"FR9112010";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7901,00;"FR9112011";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7902,00;"FR9112012";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7903,00;"FR9112013";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
