"PK_OWNERSHIP";"FPK_NATURA";"SITECODE";"TYPE";"LB_STPRO";"COVER"
"11865";"6967";"FR9101403";"30";"Domaine communal";"73"
"11866";"6967";"FR9101403";"05";"Propriété d'une association, groupement ou société";"18"
"11867";"6967";"FR9101403";"90";"Autre";"2"
"11868";"6968";"FR9101413";"64";"Domaine public maritime";"100"
"11870";"6970";"FR9101427";"00";"Indéterminé";"100"
"11871";"6971";"FR9101428";"00";"Indéterminé";"100"
"11872";"6972";"FR9101429";"00";"Indéterminé";"100"
"11877";"6974";"FR9101433";"01";"Propriété privée (personne physique)";"45"
"11878";"6974";"FR9101433";"62";"Domaine public de l'état";"12"
"11879";"6974";"FR9101433";"64";"Domaine public maritime";"3"
"11880";"6974";"FR9101433";"32";"Domaine public communal";"5"
"11881";"6974";"FR9101433";"10";"Etablissement public";"32"
"11882";"6974";"FR9101433";"90";"Autre";"3"
"11883";"6975";"FR9101434";"64";"Domaine public maritime";"2"
"11884";"6975";"FR9101434";"10";"Etablissement public";"97"
"11885";"6975";"FR9101434";"90";"Autre";"1"
"11907";"6985";"FR9101471";"00";"Indéterminé";"100"
"11908";"6986";"FR9101478";"01";"Propriété privée (personne physique)";"80"
"11909";"6986";"FR9101478";"32";"Domaine public communal";"20"
"11910";"6987";"FR9101486";"01";"Propriété privée (personne physique)";"45"
"11911";"6987";"FR9101486";"62";"Domaine public de l'état";"55"
"11912";"6988";"FR9101489";"01";"Propriété privée (personne physique)";
"11913";"6988";"FR9101489";"62";"Domaine public de l'état";
"11914";"6989";"FR9102002";"00";"Indéterminé";"100"
"11916";"6991";"FR9102006";"01";"Propriété privée (personne physique)";
"11918";"6993";"FR9102009";"61";"Domaine privé de l'état";"95"
"11919";"6993";"FR9102009";"01";"Propriété privée (personne physique)";"5"
"11920";"6994";"FR9102013";"64";"Domaine public maritime";"100"
"11921";"6995";"FR9102014";"64";"Domaine public maritime";"100"
"11934";"6999";"FR9400571";"01";"Propriété privée (personne physique)";"3,3"
"11935";"6999";"FR9400571";"05";"Propriété d'une association, groupement ou société";"5"
"11936";"6999";"FR9400571";"40";"Domaine départemental";"91,7"
"11937";"7000";"FR9400572";"10";"Etablissement public";"28"
"11938";"7000";"FR9400572";"01";"Propriété privée (personne physique)";"72"
"11939";"7001";"FR9400574";"01";"Propriété privée (personne physique)";
"11940";"7001";"FR9400574";"05";"Propriété d'une association, groupement ou société";
"11941";"7001";"FR9400574";"20";"Collectivité territoriale";"0,36"
"11942";"7001";"FR9400574";"50";"Domaine régional";
"11943";"7001";"FR9400574";"62";"Domaine public de l'état";"81"
"11944";"7002";"FR9400575";"01";"Propriété privée (personne physique)";"90"
"11945";"7002";"FR9400575";"00";"Indéterminé";"10"
"11946";"7003";"FR9400578";"30";"Domaine communal";"60"
"11947";"7003";"FR9400578";"61";"Domaine privé de l'état";"2,3"
"11948";"7004";"FR9400580";"20";"Collectivité territoriale";"9"
"11949";"7004";"FR9400580";"10";"Etablissement public";"91"
"11950";"7005";"FR9400582";"31";"Domaine privé communal";"90"
"11951";"7005";"FR9400582";"61";"Domaine privé de l'état";"6,6"
"11952";"7006";"FR9400584";"64";"Domaine public maritime";"2"
"11953";"7006";"FR9400584";"10";"Etablissement public";"36"
"11954";"7006";"FR9400584";"01";"Propriété privée (personne physique)";"35"
"11955";"7006";"FR9400584";"62";"Domaine public de l'état";"1"
"11956";"7007";"FR9400587";"01";"Propriété privée (personne physique)";
"11957";"7007";"FR9400587";"40";"Domaine départemental";
"11958";"7007";"FR9400587";"62";"Domaine public de l'état";
"11959";"7007";"FR9400587";"64";"Domaine public maritime";"87"
"11960";"7008";"FR9400590";"01";"Propriété privée (personne physique)";"70"
"11961";"7008";"FR9400590";"10";"Etablissement public";"28"
"11962";"7009";"FR9400591";"01";"Propriété privée (personne physique)";
"11963";"7009";"FR9400591";"30";"Domaine communal";
"11964";"7009";"FR9400591";"62";"Domaine public de l'état";"1"
"11965";"7009";"FR9400591";"64";"Domaine public maritime";"94"
"11966";"7010";"FR9400594";"01";"Propriété privée (personne physique)";"55"
"11967";"7010";"FR9400594";"20";"Collectivité territoriale";"36,4"
